11 30 2015 04 16  -5.6  22.0
11 30 2015 04 17  -5.6  22.0
11 30 2015 04 18  -5.6  22.0
11 30 2015 04 19  -5.6  22.0
11 30 2015 04 20  -5.6  22.0
11 30 2015 04 21  -5.6  22.0
11 30 2015 04 22  -5.5  22.1
11 30 2015 04 23  -5.5  22.1
11 30 2015 04 24  -5.5  22.1
11 30 2015 04 25  -5.5  22.1
11 30 2015 04 26  -5.4  22.2
11 30 2015 04 27  -5.5  22.1
11 30 2015 04 28  -5.4  22.2
11 30 2015 04 29  -5.5  22.1
11 30 2015 04 30  -5.5  22.1
11 30 2015 04 31  -5.5  22.1
11 30 2015 04 32  -5.4  22.2
11 30 2015 04 33  -5.4  22.2
11 30 2015 04 34  -5.5  22.1
11 30 2015 04 35  -5.5  22.1
11 30 2015 04 36  -5.4  22.2
11 30 2015 04 37  -5.4  22.2
11 30 2015 04 38  -5.4  22.2
11 30 2015 04 39  -5.4  22.2
11 30 2015 04 40  -5.5  22.1
11 30 2015 04 41  -5.4  22.2
11 30 2015 04 42  -5.5  22.1
11 30 2015 04 43  -5.5  22.1
11 30 2015 04 44  -5.5  22.1
11 30 2015 04 45  -5.5  22.1
11 30 2015 04 46  -5.6  22.0
11 30 2015 04 47  -5.5  22.1
11 30 2015 04 48  -5.6  22.0
11 30 2015 04 49  -5.6  22.0
11 30 2015 04 50  -5.5  22.1
11 30 2015 04 51  -5.6  22.0
11 30 2015 04 52  -5.6  22.0
11 30 2015 04 53  -5.6  22.0
11 30 2015 04 54  -5.6  22.0
11 30 2015 04 55  -5.6  22.0
11 30 2015 04 56  -5.6  21.9
11 30 2015 04 57  -5.6  22.0
11 30 2015 04 58  -5.6  22.0
11 30 2015 04 59  -5.6  22.0
11 30 2015 05 00  -5.6  22.0
11 30 2015 05 01  -5.6  22.0
11 30 2015 05 02  -5.6  21.9
11 30 2015 05 03  -5.6  21.9
11 30 2015 05 04  -5.6  21.9
11 30 2015 05 05  -5.6  21.9
11 30 2015 05 06  -5.6  21.9
11 30 2015 05 07  -5.6  21.9
11 30 2015 05 08  -5.6  21.9
11 30 2015 05 09  -5.6  22.0
11 30 2015 05 10  -5.6  21.9
11 30 2015 05 11  -5.6  21.9
11 30 2015 05 12  -5.7  21.8
11 30 2015 05 13  -5.6  21.9
11 30 2015 05 14  -5.6  21.9
11 30 2015 05 15  -5.6  21.9
11 30 2015 05 16  -5.7  21.8
11 30 2015 05 17  -5.7  21.8
11 30 2015 05 18  -5.6  21.9
11 30 2015 05 19  -5.6  21.9
11 30 2015 05 20  -5.6  21.9
