11 30 2015 03 16  -5.9  21.4 85.6
11 30 2015 03 17  -5.9  21.4 85.6
11 30 2015 03 18  -5.9  21.4 85.9
11 30 2015 03 19  -5.9  21.5 86.0
11 30 2015 03 20  -5.9  21.5 86.2
11 30 2015 03 21  -5.9  21.4 86.2
11 30 2015 03 22  -5.9  21.5 86.4
11 30 2015 03 23  -5.9  21.4 86.5
11 30 2015 03 24  -5.9  21.4 86.7
11 30 2015 03 25  -5.9  21.4 86.7
11 30 2015 03 26  -5.9  21.4 86.8
11 30 2015 03 27  -5.9  21.4 87.0
11 30 2015 03 28  -5.9  21.4 87.2
11 30 2015 03 29  -5.9  21.4 87.3
11 30 2015 03 30  -5.9  21.4 87.5
11 30 2015 03 31  -5.9  21.4 87.7
11 30 2015 03 32  -5.9  21.4 87.8
11 30 2015 03 33  -5.9  21.4 87.7
11 30 2015 03 34  -5.9  21.4 87.8
11 30 2015 03 35  -5.9  21.4 87.8
11 30 2015 03 36  -5.8  21.5 88.1
11 30 2015 03 37  -5.9  21.5 88.2
11 30 2015 03 38  -5.9  21.5 88.2
11 30 2015 03 39  -5.8  21.5 88.4
11 30 2015 03 40  -5.8  21.5 88.4
11 30 2015 03 41  -5.8  21.5 88.5
11 30 2015 03 42  -5.8  21.5 88.6
11 30 2015 03 43  -5.8  21.5 88.6
11 30 2015 03 44  -5.8  21.5 88.7
11 30 2015 03 45  -5.8  21.6 88.7
11 30 2015 03 46  -5.8  21.6 88.7
11 30 2015 03 47  -5.8  21.6 88.8
11 30 2015 03 48  -5.8  21.6 88.8
11 30 2015 03 49  -5.8  21.6 88.9
11 30 2015 03 50  -5.8  21.6 88.9
11 30 2015 03 51  -5.8  21.6 88.8
11 30 2015 03 52  -5.8  21.6 88.9
11 30 2015 03 53  -5.8  21.6 88.9
11 30 2015 03 54  -5.8  21.6 88.9
11 30 2015 03 55  -5.8  21.6 88.9
11 30 2015 03 56  -5.8  21.6 88.9
11 30 2015 03 57  -5.8  21.6 89.0
11 30 2015 03 58  -5.8  21.6 89.0
11 30 2015 03 59  -5.8  21.6 89.0
11 30 2015 04 00  -5.8  21.6 89.0
11 30 2015 04 01  -5.8  21.6 89.0
11 30 2015 04 02  -5.8  21.6 89.0
11 30 2015 04 03  -5.8  21.7 89.1
11 30 2015 04 04  -5.8  21.7 89.1
11 30 2015 04 05  -5.7  21.7 89.1
11 30 2015 04 06  -5.7  21.7 89.1
11 30 2015 04 07  -5.7  21.7 89.1
11 30 2015 04 08  -5.7  21.7 89.2
11 30 2015 04 09  -5.7  21.7 89.2
11 30 2015 04 10  -5.7  21.7 89.2
11 30 2015 04 11  -5.7  21.8 89.3
11 30 2015 04 12  -5.7  21.8 89.3
11 30 2015 04 13  -5.7  21.8 89.3
11 30 2015 04 14  -5.7  21.8 89.3
11 30 2015 04 15  -5.6  21.8 89.3
11 30 2015 04 16  -5.6  21.9 89.3
11 30 2015 04 17  -5.6  21.9 89.4
11 30 2015 04 18  -5.6  21.9 89.4
11 30 2015 04 19  -5.6  21.9 89.4
11 30 2015 04 20  -5.6  21.9 89.4
11 30 2015 04 21  -5.6  21.9 89.4
11 30 2015 04 22  -5.6  21.9 89.5
11 30 2015 04 23  -5.6  21.9 89.5
11 30 2015 04 24  -5.6  21.9 89.5
11 30 2015 04 25  -5.6  22.0 89.6
11 30 2015 04 26  -5.6  22.0 89.7
11 30 2015 04 27  -5.6  22.0 89.7
11 30 2015 04 28  -5.6  22.0 89.7
11 30 2015 04 29  -5.6  22.0 89.7
11 30 2015 04 30  -5.6  22.0 89.7
11 30 2015 04 31  -5.6  22.0 89.8
11 30 2015 04 32  -5.6  22.0 89.8
