11 30 2015 01 52  -7.10  19.22 823.97 1021.76 30.17 1709.87
11 30 2015 01 53  -7.10  19.22 824.09 1021.81 30.17 1709.08
11 30 2015 01 54  -7.10  19.22 824.10 1021.80 30.17 1708.88
11 30 2015 01 55  -7.10  19.22 824.17 1021.98 30.18 1709.67
11 30 2015 01 56  -7.10  19.22 824.25 1021.91 30.18 1708.29
11 30 2015 01 57  -7.10  19.22 823.98 1021.55 30.17 1708.09
11 30 2015 01 58  -7.10  19.22 824.13 1021.78 30.17 1708.49
11 30 2015 01 59  -7.10  19.22 824.12 1021.83 30.17 1708.98
11 30 2015 02 00  -7.10  19.22 824.12 1021.88 30.18 1709.37
11 30 2015 02 01  -7.10  19.22 824.18 1021.91 30.18 1708.98
11 30 2015 02 02  -7.00  19.40 824.04 1021.73 30.17 1709.57
11 30 2015 02 03  -7.00  19.40 824.16 1021.90 30.18 1709.77
11 30 2015 02 04  -7.00  19.40 824.04 1021.70 30.17 1709.37
11 30 2015 02 05  -7.00  19.40 823.98 1021.62 30.17 1709.27
11 30 2015 02 06  -7.00  19.40 824.08 1021.74 30.17 1709.27
11 30 2015 02 07  -7.00  19.40 824.12 1021.85 30.18 1709.77
11 30 2015 02 08  -7.00  19.40 824.02 1021.78 30.17 1710.16
11 30 2015 02 09  -7.00  19.40 824.05 1021.79 30.17 1709.96
11 30 2015 02 10  -7.00  19.40 823.99 1021.78 30.17 1710.46
11 30 2015 02 11  -7.00  19.40 823.97 1021.68 30.17 1709.87
11 30 2015 02 12  -7.00  19.40 823.93 1021.66 30.17 1710.16
11 30 2015 02 13  -7.00  19.40 823.99 1021.80 30.17 1710.65
11 30 2015 02 14  -7.00  19.40 823.94 1021.69 30.17 1710.26
11 30 2015 02 15  -7.00  19.40 823.84 1021.61 30.17 1710.65
11 30 2015 02 16  -7.00  19.40 823.95 1021.60 30.17 1709.47
11 30 2015 02 17  -7.00  19.40 824.01 1021.83 30.17 1710.65
11 30 2015 02 18  -7.00  19.40 823.95 1021.61 30.17 1709.57
11 30 2015 02 19  -7.00  19.40 823.90 1021.65 30.17 1710.36
11 30 2015 02 20  -7.00  19.40 823.99 1021.80 30.17 1710.65
