name,abbreviation
nanogray,nGy
picogray,pGy
femtogray,fGy
attogray,aGy
zeptogray,zGy
yoctogray,yGy
yottasievert,YSv
zettasievert,ZSv
exasievert,ESv
petasievert,PSv
terasievert,TSv
gigasievert,GSv
megasievert,MSv
kilosievert,kSv
hectosievert,hSv
dekasievert,daSv
decisievert,dSv
centisievert,cSv
millisievert,mSv
microsievert,uSv
nanosievert,nSv
picosievert,pSv
femtosievert,fSv
attosievert,aSv
zeptosievert,zSv
yoctosievert,ySv
